,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
34663,0.50324,0.44259,0.48065,0.49928,0.50541,0.50749,0.50652,0.5111,0.41654,0.05474,0.08312,0.10007
27916,0.70727,0.58778,0.65345,0.66091,0.68102,0.69987,0.67332,0.71025,0.59248,0.17217,0.1093,0.12987
31714,0.35158,0.30529,0.36515,0.30272,0.41403,0.78329,0.71948,0.821,0.09341,0.00065,0.12196,0.12427
5636,0.65938,0.62178,0.67447,0.81217,0.94031,0.94205,0.92379,0.94215,0.69913,0.15553,0.08601,0.10729
46658,0.54843,0.53521,0.6458,0.72467,0.94681,0.95104,0.93997,0.95614,0.72254,0.23328,0.18343,0.23981
12078,0.40175,0.39843,0.5089,0.59176,0.67128,0.762,0.71072,0.84726,0.24351,0.02258,0.19824,0.22674
15634,0.55058,0.52087,0.56595,0.52248,0.62035,1.00341,0.88495,1.03418,0.32148,0.00752,0.07797,0.10065
18236,0.80593,0.7659,0.8149,0.77772,0.83077,0.94587,0.83219,0.98395,0.48627,0.02109,0.05455,0.06973
16762,0.95702,0.89642,0.95125,0.96733,0.98012,0.98651,0.97215,0.99283,0.65156,0.04269,0.77424,0.61306
7555,0.74146,0.67203,0.72941,0.73826,0.76667,0.7775,0.75592,0.77545,0.67712,0.16764,0.09479,0.11614
42999,0.78692,0.74388,0.77405,0.75787,0.78209,0.8114,0.7645,0.85219,0.56874,0.15333,0.08795,0.11031
44415,0.48632,0.44082,0.49882,0.46053,0.54884,0.80328,0.74543,0.81758,0.31795,0.01533,0.34857,0.25641
9199,0.62892,0.61592,0.71041,0.66451,0.821,0.96479,0.8418,1.00982,0.4171,0.04092,0.5009,0.35121
17373,0.64417,0.60007,0.63345,0.64709,0.65759,0.6656,0.65699,0.6742,0.47028,0.05698,0.54153,0.42604
4611,0.75383,0.71849,0.77943,0.75841,1.01088,1.00541,0.98138,0.9945,0.76374,0.11388,0.0679,0.08283
24042,0.35437,0.31198,0.38447,0.32131,0.44626,0.77522,0.69232,0.80279,0.16874,0.00113,0.16508,0.17742
24039,0.86266,0.82517,0.86894,0.88393,0.90107,0.91838,0.90094,0.96876,0.65502,0.08269,0.4034,0.40923
24911,0.55523,0.52209,0.58587,0.5515,0.64929,0.9877,0.96958,0.99124,0.65778,0.05563,0.09272,0.12295
27378,0.63565,0.5396,0.60093,0.62362,0.65251,0.71965,0.70288,0.71493,0.55,0.06497,0.09137,0.10356
35728,0.51223,0.49787,0.62395,0.52362,0.7738,0.90036,0.81824,0.92494,0.22178,0.00048,0.71787,0.48009
591,0.85904,0.81823,0.85088,0.84999,0.87273,0.95939,0.89634,0.97446,0.79812,0.24118,0.08779,0.10996
4936,0.5791,0.52095,0.5577,0.5799,0.61542,0.66622,0.64604,0.74131,0.33772,0.03139,0.41514,0.27915
3455,0.60199,0.57427,0.65059,0.57093,0.76543,0.97653,0.85327,1.00748,0.09755,0.00034,0.15572,0.16797
24088,0.58561,0.56181,0.63923,0.58381,0.72279,1.02004,1.00187,1.02197,0.74246,0.21073,0.11214,0.14015
25804,0.94128,0.89517,0.93702,0.9432,0.96099,1.0258,0.97893,1.02437,0.70612,0.10959,0.50458,0.46375
4686,0.64321,0.61694,0.65861,0.69971,0.72005,0.73852,0.74282,0.77253,0.58379,0.13528,0.11717,0.1339
