epoch,training_loss,validation_loss
1,0.05650356039404869,0.012696330435574055
2,0.009744469076395035,0.00742923840880394
3,0.006494819186627865,0.005618412513285875
4,0.005170976743102074,0.004728748928755522
5,0.004449117463082075,0.004078345838934183
6,0.00392212625592947,0.0035881483927369118
7,0.0035486440174281597,0.003632626961916685
8,0.0032141399569809437,0.003058105241507292
9,0.0029907419811934233,0.002864639973267913
10,0.0028183937538415194,0.0027994317933917046
11,0.0026631997898221016,0.0025385781191289425
12,0.0026111083570867777,0.0024597831070423126
13,0.0024733233731240034,0.0023136031813919544
14,0.0023785927332937717,0.0024699377827346325
15,0.0022937117610126734,0.0022505305241793394
16,0.0022401611786335707,0.0021942886523902416
17,0.0021767867729067802,0.0020707256626337767
18,0.002107411390170455,0.0022473777644336224
19,0.0020930436439812183,0.0022920314222574234
20,0.002010682364925742,0.0019245764706283808
21,0.0019686745945364237,0.0019099237397313118
22,0.0019256894011050463,0.0019162822281941772
23,0.0018715460319072008,0.0020509124733507633
24,0.0019181777024641633,0.0019936785101890564
25,0.0018239092314615846,0.0017764715012162924
26,0.0018419326515868306,0.00180775613989681
27,0.0017768413526937366,0.0018069534562528133
28,0.0017704751808196306,0.0018236922333016992
29,0.001748097245581448,0.0016921949572861195
30,0.0017412189627066255,0.001644266420044005
31,0.0017109689069911838,0.0016522497171536088
32,0.001659356988966465,0.001613903441466391
33,0.001661867368966341,0.0016701818676665425
34,0.0016612597974017262,0.0015477671986445785
35,0.0016086685936897993,0.0016620787791907787
36,0.001631994848139584,0.0016988154966384172
37,0.0016066376119852066,0.0015590793918818235
38,0.0015608598478138447,0.0016302401199936867
39,0.0015860467683523893,0.0016195130301639438
40,0.0016032193088904023,0.0015249229036271572
41,0.001531385350972414,0.0014740099431946874
42,0.0015487184282392263,0.0015626270323991776
43,0.0014939304674044251,0.0015484499745070934
44,0.0015378165990114212,0.0015316950157284737
45,0.0015201619826257229,0.0015373845817521214
46,0.0014783135848119855,0.0014841860393062234
47,0.0014733823481947184,0.0015624783700332046
48,0.0014976534293964505,0.0014694113051518798
49,0.0014779141638427973,0.001581809134222567
50,0.0014847263228148222,0.0014063488924875855
51,0.0014665683265775442,0.0016265374142676592
52,0.0014538033865392208,0.0014076386578381062
53,0.0014269703533500433,0.0013647639425471425
54,0.0014406876871362329,0.001504222396761179
55,0.001415652222931385,0.0015214524464681745
56,0.0014331161510199308,0.001378944725729525
57,0.0014121036510914564,0.0014335557352751493
58,0.0013989811995998025,0.0014590255450457335
59,0.0013656083028763533,0.001339381909929216
60,0.0014020447852090001,0.001317391055636108
61,0.0014007588615640998,0.00134565110784024
62,0.0013807568466290832,0.0013820914318785071
63,0.001353425090201199,0.0014088127063587308
64,0.0013891695998609066,0.0013688590843230486
65,0.0014161383733153343,0.0013606129214167595
66,0.00134941132273525,0.0014377685729414225
