,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
122187,0.5823,0.51509,0.55075,0.60255,0.74544,0.75335,0.73498,0.76044,0.60824,0.28029,0.136,0.15969
113244,0.87748,0.83676,0.90327,0.89507,0.90401,0.90562,0.86257,0.89628,0.60185,0.06985,0.08908,0.1104
70690,0.25923,0.37318,0.21646,0.53841,0.9173,0.95641,0.87773,0.98549,0.14407,0.00063,0.78296,0.41659
271649,0.08369,0.05065,0.03021,0.02536,0.0213,0.01736,0.01388,0.01191,0.00742,0.00099,0.00097,0.0
348015,0.50438,0.42299,0.46171,0.48526,0.49246,0.49403,0.4924,0.49545,0.4248,0.08477,0.10355,0.12216
276646,0.14979,0.09221,0.06167,0.05366,0.04607,0.0381,0.03057,0.02665,0.01493,0.00199,0.00219,0.0
165781,0.71725,0.66398,0.70484,0.71627,0.72727,0.74081,0.72887,0.78385,0.58692,0.15222,0.31435,0.30271
106506,0.31339,0.34708,0.30562,0.4376,0.89103,0.95165,0.82995,0.9893,0.11304,0.00419,0.71193,0.33459
313075,0.20015,0.16782,0.1566,0.1551,0.15377,0.15197,0.14867,0.14928,0.11597,0.01548,0.04914,0.05476
106295,0.73144,0.68853,0.71329,0.73371,0.87523,0.89179,0.83845,0.89812,0.5265,0.05457,0.10613,0.12828
183010,0.77214,0.69955,0.74523,0.76226,0.77446,0.77744,0.756,0.77332,0.60038,0.07646,0.10999,0.12694
176503,0.68711,0.64484,0.70151,0.70886,0.73899,0.77891,0.74823,0.84995,0.5008,0.07149,0.10051,0.1217
122304,0.64049,0.61245,0.61945,0.67538,0.88336,0.90501,0.84146,0.91772,0.53256,0.07185,0.07184,0.09009
381725,0.0731,0.04634,0.03166,0.02772,0.02636,0.02514,0.02217,0.02331,0.00631,0.0003,0.01787,0.01897
182540,0.81616,0.77275,0.79664,0.80599,0.80807,0.80693,0.8022,0.80391,0.738,0.18533,0.08271,0.1038
