,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
207753,0.05924,0.0331,0.01701,0.01341,0.0111,0.00897,0.00691,0.00605,0.0028,0.00031,0.00048,0.0
24448,0.16815,0.19342,0.12598,0.2609,0.86014,0.93067,0.81129,0.97554,0.05129,0.00061,0.54233,0.20055
64754,0.41124,0.63292,0.34553,0.87954,0.98452,0.9938,0.96116,1.00104,0.47614,0.00125,0.44929,0.33542
43789,0.27862,0.29514,0.20469,0.38971,0.81236,0.89865,0.76213,0.95871,0.02563,0.00081,0.72689,0.27072
86478,0.22758,0.31264,0.18578,0.43035,0.96122,0.9774,0.93995,0.99254,0.39475,0.00079,0.91284,0.57092
65868,0.31574,0.49611,0.27374,0.59851,0.90313,0.96173,0.84143,0.99416,0.06126,0.00034,0.93163,0.48293
342035,0.06771,0.0377,0.01957,0.01571,0.01293,0.01037,0.00814,0.00696,0.00408,0.0005,0.00055,0.0
374377,0.05369,0.02958,0.01538,0.0124,0.0102,0.00818,0.00644,0.00549,0.00344,0.0005,0.00044,0.0
140345,0.10943,0.1646,0.07498,0.25638,0.92656,0.99644,0.97861,1.00107,0.63908,0.01257,0.44795,0.16883
52936,0.25139,0.34518,0.2193,0.49232,0.99708,0.99908,0.99495,1.0015,0.84689,0.22627,0.9638,0.66711
272811,0.03498,0.02052,0.01088,0.0088,0.00725,0.00583,0.00463,0.00394,0.00268,0.00048,0.00032,0.0
233816,0.06435,0.03558,0.01831,0.01441,0.01195,0.00967,0.00743,0.00652,0.00304,0.00036,0.00052,0.0
198705,0.35682,0.41759,0.32,0.66784,0.91679,0.94533,0.90215,0.97439,0.27552,0.00133,0.89731,0.48029
248949,0.05497,0.03012,0.01541,0.01212,0.01004,0.00812,0.00624,0.00547,0.00254,0.00031,0.00043,0.0
284552,0.09552,0.05826,0.03523,0.02865,0.02457,0.02046,0.01571,0.01424,0.00568,0.00074,0.00116,0.0
73106,0.22866,0.23829,0.16541,0.36044,0.92907,0.94881,0.94035,0.97355,0.58085,0.00895,0.47684,0.1789
5525,0.33274,0.29077,0.37184,0.43527,0.51493,0.59496,0.62581,0.75191,0.15262,0.00127,0.88028,0.78859
147300,0.86967,0.78535,0.89282,0.92816,0.95375,0.96812,0.95006,0.98468,0.53342,0.00472,0.4849,0.59232
256154,0.10662,0.06534,0.04093,0.03475,0.02951,0.02425,0.01931,0.01679,0.00937,0.00127,0.00137,0.0
245847,0.07634,0.04204,0.02191,0.01736,0.01441,0.01165,0.00898,0.00786,0.00367,0.0004,0.00062,0.0
45776,0.19641,0.27016,0.68239,0.84434,0.9006,0.95905,0.84191,0.9921,0.06622,0.00031,0.51999,0.185
43589,0.22614,0.32632,0.18859,0.46282,0.9834,0.99166,0.96604,0.99927,0.53529,0.00377,0.67026,0.28721
121359,0.16115,0.1968,0.11725,0.26641,0.8377,0.96332,0.89555,0.98561,0.21281,0.00044,0.5705,0.23368
390365,0.06209,0.0345,0.01781,0.01422,0.01171,0.00941,0.00735,0.00632,0.00349,0.00045,0.0005,0.0
250620,0.03933,0.02314,0.01242,0.01008,0.00832,0.0067,0.00532,0.00453,0.00301,0.00049,0.00037,0.0
213519,0.06335,0.03499,0.01797,0.01403,0.01168,0.00949,0.00723,0.00641,0.00275,0.00036,0.00051,0.0
159173,0.38215,0.52595,0.38837,0.83353,0.89072,0.95571,0.83019,0.99117,0.05172,0.0003,0.7634,0.33492
122334,0.73344,0.59442,0.74008,0.68096,0.77806,0.8715,0.73562,0.94166,0.02449,0.00125,0.82388,0.62515
93572,0.27378,0.40513,0.22427,0.62874,0.92396,0.95949,0.88945,0.9862,0.182,0.0006,0.92105,0.46732
20116,0.27133,0.40642,0.22819,0.59051,0.92828,0.96995,0.8813,0.99462,0.13513,0.0004,0.93733,0.4172
341134,0.08427,0.04614,0.02452,0.01995,0.01643,0.01317,0.01041,0.00885,0.00571,0.00087,0.0007,0.0
268781,0.05045,0.0301,0.01626,0.01292,0.0108,0.00881,0.0068,0.006,0.00267,0.00032,0.00049,0.0
143574,0.24396,0.30434,0.21815,0.42192,0.96885,0.9861,0.93716,0.99853,0.33211,0.00047,0.71129,0.30114
75491,0.32173,0.46208,0.2908,0.59587,0.98749,0.99432,0.97379,1.00013,0.60471,0.01276,0.90817,0.47481
313800,0.06052,0.03359,0.01724,0.01352,0.01122,0.00909,0.00697,0.00614,0.00275,0.00032,0.00049,0.0
364677,0.06904,0.03791,0.0196,0.0154,0.01281,0.01039,0.00794,0.00701,0.00302,0.00033,0.00055,0.0
155797,0.28128,0.36461,0.21798,0.48852,0.75867,0.87863,0.69967,0.95055,0.01021,0.0007,0.788,0.26952
368143,0.05706,0.03183,0.0164,0.01317,0.0108,0.00865,0.00682,0.00579,0.00373,0.00056,0.00046,0.0
59526,0.26273,0.37777,0.23332,0.54206,0.98063,0.98788,0.97343,0.99568,0.65325,0.02224,0.76341,0.35637
941,0.21666,0.31209,0.18893,0.42498,0.9577,0.98135,0.921,0.99752,0.26122,0.00039,0.52765,0.23618
14812,0.26064,0.2997,0.45514,0.51661,0.57248,0.62666,0.66237,0.70552,0.4387,0.00795,0.93533,0.90618
204903,0.12634,0.06915,0.04099,0.03459,0.02908,0.02364,0.01873,0.01615,0.00925,0.00119,0.00129,0.0
54616,0.38833,0.56207,0.32526,0.76512,0.9493,0.97068,0.92347,0.98962,0.3038,0.00086,0.92603,0.55886
275536,0.05122,0.03062,0.01667,0.01335,0.01115,0.00907,0.00704,0.00618,0.00284,0.00031,0.0005,0.0
271576,0.05442,0.03231,0.01806,0.01459,0.01225,0.01,0.00778,0.00684,0.00326,0.00041,0.00056,0.0
150409,0.32123,0.34369,0.28452,0.48345,0.79503,0.8998,0.73548,0.96233,0.0128,0.00057,0.86102,0.38683
104069,0.18034,0.19759,0.12101,0.2786,0.90097,0.95037,0.8616,0.98343,0.11672,0.00056,0.70771,0.33074
261810,0.08059,0.04861,0.02768,0.02245,0.01889,0.01547,0.01203,0.01061,0.00477,0.00054,0.00086,0.0
111033,0.26895,0.3697,0.21738,0.4695,0.90909,0.95709,0.86213,0.98787,0.10343,0.00045,0.80262,0.3402
398863,0.06055,0.03365,0.01723,0.01333,0.01113,0.00909,0.00687,0.00616,0.00243,0.00029,0.00049,0.0
79711,0.24914,0.35028,0.21122,0.4644,0.93362,0.97339,0.8857,0.99648,0.14176,0.00032,0.79903,0.34785
324312,0.05746,0.03205,0.01645,0.01299,0.01074,0.00867,0.0067,0.00584,0.00276,0.00031,0.00046,0.0
377622,0.16458,0.09106,0.05986,0.0521,0.0447,0.03685,0.02924,0.0256,0.0133,0.00168,0.00205,0.0
262722,0.05583,0.03332,0.01802,0.01428,0.01195,0.00977,0.00752,0.00666,0.00288,0.00034,0.00054,0.0
221061,0.14507,0.08019,0.04721,0.03732,0.03237,0.02718,0.02024,0.01889,0.00615,0.00078,0.00148,0.0
178051,0.21598,0.25763,0.17496,0.34966,0.89968,0.95431,0.85026,0.98753,0.0868,0.00039,0.80501,0.37235
59172,0.30862,0.43033,0.27111,0.61338,0.98495,0.99026,0.98352,0.9966,0.76764,0.10432,0.95534,0.56795
187844,0.31329,0.47552,0.27495,0.63086,0.89032,0.95503,0.82755,0.99116,0.04846,0.00034,0.92484,0.4505
311159,0.07574,0.04136,0.02179,0.01718,0.01438,0.0117,0.00894,0.00793,0.00341,0.00045,0.00063,0.0
214495,0.06199,0.03448,0.01774,0.01397,0.01157,0.00937,0.00721,0.00632,0.00302,0.00037,0.0005,0.0
312929,0.05226,0.02891,0.01496,0.01206,0.00989,0.00792,0.00627,0.00531,0.00362,0.00066,0.00042,0.0
131529,0.287,0.33223,0.25481,0.38539,0.912,0.96293,0.85817,0.99263,0.08845,0.00037,0.88012,0.41827
71913,0.35957,0.48135,0.34477,0.69905,0.99561,0.99761,0.99787,1.00029,0.93483,0.51662,0.96208,0.50695
26427,0.3567,0.53603,0.33871,0.79753,0.99227,0.99613,0.98719,1.00007,0.7685,0.11029,0.84371,0.46233
282487,0.05288,0.03147,0.01694,0.01331,0.01118,0.00916,0.007,0.00626,0.00254,0.00032,0.00051,0.0
354925,0.06108,0.03392,0.01752,0.01409,0.01156,0.00925,0.0073,0.0062,0.004,0.00056,0.00049,0.0
249377,0.07572,0.04159,0.02179,0.01747,0.01444,0.01162,0.00905,0.00782,0.0041,0.00051,0.00062,0.0
118703,0.26156,0.31106,0.20669,0.39572,0.83489,0.91946,0.77785,0.97185,0.0253,0.00058,0.73313,0.30782
1055,0.22952,0.3456,0.17113,0.49792,0.95527,0.97513,0.93184,0.99191,0.34472,0.00076,0.81173,0.53541
193247,0.35874,0.53282,0.55545,0.77787,0.99011,0.99411,0.98744,0.99877,0.7869,0.12716,0.96019,0.723
354062,0.13683,0.0758,0.04421,0.03705,0.03103,0.02514,0.01992,0.01713,0.00996,0.00117,0.00136,0.0
317696,0.05881,0.03296,0.01695,0.01334,0.01105,0.00894,0.00689,0.00603,0.00278,0.0003,0.00048,0.0
358944,0.07232,0.03975,0.02077,0.01677,0.01379,0.01105,0.0087,0.00741,0.0046,0.0006,0.00059,0.0
36579,0.31468,0.3216,0.45105,0.42662,0.48738,0.5055,0.40049,0.46421,0.01879,0.00027,0.34388,0.25448
301545,0.14661,0.08127,0.04908,0.04055,0.03463,0.02862,0.02207,0.01976,0.0086,0.00107,0.00156,0.0
358154,0.03781,0.02088,0.01073,0.00864,0.00708,0.00566,0.00448,0.0038,0.00262,0.00052,0.0003,0.0
92817,0.33714,0.39714,0.30395,0.47834,0.9348,0.97365,0.88699,0.99653,0.14396,0.00031,0.94148,0.52096
265473,0.04671,0.02772,0.01484,0.01189,0.00987,0.00799,0.00625,0.00542,0.00289,0.00039,0.00044,0.0
72963,0.14602,0.25814,0.09234,0.37,0.96357,0.99309,0.96745,0.99997,0.54044,0.00409,0.73588,0.40768
272111,0.08953,0.05426,0.03219,0.02581,0.02214,0.01849,0.01408,0.01286,0.00512,0.00069,0.00104,0.0
345150,0.06761,0.0372,0.01926,0.01525,0.01264,0.0102,0.00787,0.00687,0.00322,0.00037,0.00054,0.0
358040,0.05915,0.0324,0.01678,0.01347,0.01108,0.00889,0.00697,0.00597,0.00346,0.00047,0.00047,0.0
175493,0.86891,0.77882,0.8859,0.92115,0.94979,0.9661,0.9459,0.9845,0.51752,0.00439,0.49081,0.59993
33047,0.20311,0.23489,0.13838,0.33258,0.97029,0.98318,0.95106,0.99504,0.44724,0.0012,0.52996,0.20177
82294,0.25075,0.29242,0.1817,0.36094,0.854,0.92528,0.80686,0.97242,0.05015,0.00062,0.74718,0.29153
354316,0.0641,0.03577,0.0185,0.01484,0.0122,0.00978,0.00768,0.00656,0.00395,0.00058,0.00052,0.0
396267,0.06454,0.03578,0.01842,0.01442,0.01199,0.00973,0.00744,0.00657,0.00286,0.00035,0.00052,0.0
366888,0.12042,0.06572,0.03832,0.0312,0.02658,0.02195,0.01681,0.0151,0.00631,0.00075,0.0012,0.0
283282,0.13801,0.08544,0.05614,0.04628,0.04054,0.03438,0.02623,0.02433,0.0091,0.0011,0.00198,0.0
299388,0.05857,0.03504,0.01943,0.01589,0.0132,0.01068,0.00847,0.00726,0.0044,0.00058,0.00059,0.0
182074,0.25834,0.24741,0.2512,0.25536,0.25846,0.26239,0.2607,0.25691,0.24093,0.18561,0.4958,0.44425
166725,0.17867,0.20234,0.33526,0.39671,0.46072,0.52448,0.58438,0.63584,0.42698,0.01212,0.92927,0.88851
290904,0.13196,0.08155,0.05416,0.04699,0.04028,0.03329,0.02671,0.02326,0.01306,0.00162,0.00191,0.0
21421,0.19444,0.26212,0.13044,0.33661,0.97888,0.99563,0.98326,1.00024,0.70177,0.03942,0.7143,0.37986
342880,0.04903,0.02728,0.014,0.01122,0.00921,0.00737,0.0058,0.00494,0.00303,0.00042,0.00039,0.0
118692,0.21727,0.26632,0.14998,0.28825,0.83801,0.92788,0.77356,0.97819,0.01894,0.0004,0.75921,0.26982
366041,0.05877,0.03279,0.01692,0.01359,0.01115,0.00892,0.00705,0.00598,0.00388,0.00056,0.00048,0.0
57697,0.15309,0.22156,0.10678,0.28771,0.80773,0.91782,0.82242,0.94047,0.09476,0.00043,0.58226,0.27551
225104,0.05284,0.02932,0.01505,0.01208,0.0099,0.00792,0.00625,0.0053,0.00344,0.00054,0.00042,0.0
265811,0.04853,0.02891,0.01552,0.01241,0.01032,0.00837,0.00653,0.00569,0.0029,0.0004,0.00046,0.0
287045,0.06248,0.03742,0.02069,0.0163,0.0138,0.01139,0.00866,0.00782,0.00296,0.00036,0.00063,0.0
60125,0.27748,0.35547,0.2418,0.49442,0.99278,0.99709,0.98231,1.00122,0.68105,0.0345,0.9546,0.72517
50812,0.96874,0.90274,0.95802,0.97611,0.98769,0.99285,0.98122,0.99852,0.70095,0.04506,0.94623,0.9283
99010,0.24768,0.32294,0.21714,0.42192,0.91516,0.96074,0.87316,0.989,0.13482,0.00043,0.88987,0.36302
70755,0.24018,0.32752,0.18713,0.39988,0.92523,0.9681,0.87638,0.99402,0.12705,0.00031,0.77911,0.32747
24799,0.37327,0.36458,0.33358,0.61901,0.85598,0.90424,0.85039,0.95273,0.18002,0.0015,0.86868,0.50544
79105,0.27509,0.32073,0.23486,0.40054,0.89831,0.95315,0.84509,0.98747,0.07379,0.0005,0.85771,0.39476
117857,0.30895,0.39833,0.8044,0.9666,0.98308,0.99345,0.95838,1.0012,0.4552,0.00137,0.95378,0.50953
43601,0.25777,0.36744,0.22866,0.55486,0.98712,0.9954,0.96438,1.00183,0.49619,0.00244,0.95627,0.65217
223780,0.11006,0.06052,0.03347,0.02746,0.02283,0.01842,0.01448,0.01246,0.00695,0.00083,0.00098,0.0
163989,0.97282,0.9008,0.93697,0.87918,0.92613,0.96734,0.87532,0.99391,0.12287,0.00043,0.12739,0.17155
268391,0.04555,0.02699,0.01448,0.01173,0.00969,0.00781,0.00619,0.00528,0.00335,0.00047,0.00043,0.0
8347,0.35784,0.35795,0.53563,0.54796,0.62668,0.67355,0.59335,0.67262,0.07753,0.00028,0.66193,0.53767
239725,0.06769,0.03726,0.01934,0.01555,0.01279,0.01025,0.00805,0.00688,0.00406,0.00054,0.00054,0.0
29173,0.24693,0.32282,0.22239,0.42672,0.97898,0.99102,0.95161,1.00026,0.41083,0.00075,0.76294,0.38344
96700,0.11318,0.08337,0.06995,0.06727,0.06527,0.06313,0.06033,0.06032,0.0391,0.00177,0.04804,0.03917
38811,0.3314,0.60611,0.69005,0.80328,0.86599,0.93365,0.81889,0.97685,0.05481,0.00088,0.89754,0.47343
158597,0.17961,0.24301,0.12805,0.34217,0.9208,0.98451,0.94212,0.99701,0.37179,0.00059,0.44699,0.19555
186297,0.36617,0.37275,0.58662,0.67765,0.73749,0.7923,0.79509,0.82815,0.41842,0.00402,0.86291,0.79943
302496,0.07251,0.04035,0.02091,0.0165,0.01369,0.01109,0.00853,0.00749,0.00348,0.00043,0.00059,0.0
92338,0.26643,0.34786,0.62541,0.7412,0.8511,0.94763,0.92771,0.97465,0.46362,0.00279,0.92151,0.87563
110894,0.26469,0.40516,0.24499,0.58703,0.91079,0.9626,0.85583,0.99286,0.08423,0.00034,0.7167,0.31183
343114,0.05874,0.03226,0.01657,0.0131,0.01084,0.00874,0.00675,0.00588,0.00285,0.00035,0.00047,0.0
164669,0.25155,0.37539,0.22087,0.54339,0.98145,0.99198,0.95868,1.00023,0.47222,0.00178,0.95995,0.51128
339600,0.06507,0.03613,0.01873,0.01508,0.01238,0.00991,0.00782,0.00665,0.00424,0.00062,0.00053,0.0
133779,0.25274,0.34525,0.22336,0.53454,0.95695,0.98021,0.91896,0.99693,0.25231,0.00035,0.92233,0.44929
111294,0.25373,0.47932,0.18014,0.66586,0.99307,0.99745,0.97902,1.00165,0.63518,0.01548,0.62767,0.25069
41470,0.79406,0.76978,0.82127,0.76082,0.81713,0.87213,0.76537,0.8795,0.07274,0.00027,0.8959,0.71205
67420,0.96006,0.89038,0.92196,0.82984,0.88826,0.95228,0.82978,0.98871,0.05365,0.00031,0.92148,0.77692
275810,0.05468,0.03278,0.01807,0.01453,0.01215,0.0099,0.0077,0.00675,0.00321,0.0004,0.00055,0.0
394455,0.05535,0.03094,0.01595,0.01281,0.01051,0.00841,0.00665,0.00564,0.00372,0.00059,0.00045,0.0
201022,0.09735,0.05325,0.02878,0.02315,0.0193,0.01565,0.01209,0.01059,0.00485,0.00053,0.00083,0.0
316987,0.07337,0.04094,0.02126,0.01693,0.01398,0.01128,0.00876,0.00759,0.00393,0.00052,0.0006,0.0
13878,0.22957,0.3369,0.2074,0.49181,0.90666,0.96279,0.84802,0.99391,0.07034,0.00031,0.65078,0.23108
347371,0.05765,0.03224,0.01662,0.01333,0.01094,0.00877,0.00691,0.00588,0.00365,0.00049,0.00047,0.0
92277,0.26553,0.44623,0.2372,0.69557,0.96703,0.98379,0.93917,0.99675,0.35386,0.00064,0.8899,0.43502
171949,0.25805,0.45611,0.18921,0.65425,0.91694,0.95417,0.88098,0.98367,0.16084,0.00075,0.80662,0.32172
334588,0.11353,0.0626,0.0347,0.02821,0.02359,0.01916,0.01489,0.01302,0.00627,0.00061,0.00103,0.0
292231,0.06516,0.03772,0.02175,0.0181,0.01515,0.01232,0.00977,0.00841,0.00507,0.00076,0.00069,0.0
110292,0.13661,0.16765,0.08195,0.25649,0.9103,0.98236,0.96901,0.99263,0.63865,0.01322,0.43867,0.1639
324650,0.07197,0.03959,0.02059,0.01645,0.01359,0.01093,0.0085,0.00735,0.00373,0.00035,0.00058,0.0
329322,0.05562,0.03078,0.01574,0.01238,0.01025,0.00828,0.00637,0.00558,0.00254,0.00028,0.00044,0.0
214851,0.11176,0.06116,0.03406,0.0274,0.0231,0.01889,0.01447,0.01289,0.00512,0.00055,0.00101,0.0
185951,0.41758,0.43679,0.75128,0.82121,0.87751,0.91438,0.87697,0.95596,0.25782,0.00176,0.86471,0.78376
42792,0.1511,0.17419,0.09736,0.21206,0.76676,0.88545,0.8511,0.8922,0.37286,0.00081,0.45706,0.19066
9093,0.1329,0.10433,0.09366,0.08948,0.09098,0.08915,0.08135,0.08672,0.02558,0.00042,0.06303,0.05343
337661,0.06286,0.03458,0.01812,0.01466,0.01206,0.00967,0.00763,0.0065,0.0041,0.00059,0.00052,0.0
175760,0.9691,0.90204,0.95191,0.9518,0.97291,0.9863,0.94853,0.9974,0.41334,0.00099,0.49955,0.61183
342979,0.06372,0.03503,0.01799,0.01402,0.01168,0.0095,0.00722,0.00642,0.00268,0.00031,0.00051,0.0
254487,0.12422,0.07683,0.04992,0.04282,0.03661,0.03026,0.02415,0.0211,0.01197,0.00181,0.00173,0.0
396723,0.06134,0.03355,0.01721,0.01344,0.01118,0.00908,0.00692,0.00613,0.00261,0.00029,0.00048,0.0
113412,0.18255,0.1942,0.11224,0.29022,0.89088,0.94046,0.85151,0.97749,0.10231,0.00072,0.67176,0.23082
229760,0.1188,0.06576,0.03653,0.02974,0.02488,0.0202,0.01571,0.01372,0.00644,0.00063,0.00109,0.0
134013,0.46295,0.61101,0.9519,0.94294,0.96583,0.98373,0.93747,0.99688,0.34453,0.00047,0.94477,0.90058
219302,0.09206,0.05079,0.02685,0.02108,0.01767,0.01443,0.01096,0.00979,0.00391,0.00044,0.00077,0.0
227943,0.13346,0.07239,0.04463,0.03736,0.03207,0.02652,0.02053,0.01837,0.00799,0.00105,0.00147,0.0
239722,0.08775,0.04778,0.0253,0.01992,0.01669,0.01361,0.01034,0.00923,0.00368,0.00042,0.00072,0.0
199255,0.21273,0.26608,0.18046,0.40143,0.99233,0.99579,0.98849,0.99989,0.77534,0.10802,0.83228,0.4305
260798,0.0559,0.03348,0.01839,0.01484,0.01238,0.01006,0.00786,0.00685,0.00335,0.00035,0.00056,0.0
344501,0.05668,0.03094,0.01584,0.01262,0.01038,0.00833,0.00648,0.00558,0.003,0.00036,0.00044,0.0
357088,0.05513,0.03069,0.01579,0.01264,0.01038,0.00832,0.00653,0.00558,0.00328,0.00042,0.00044,0.0
125654,0.24804,0.34713,0.21174,0.45717,0.90188,0.95918,0.84367,0.992,0.06881,0.0003,0.74409,0.29173
310964,0.06751,0.03781,0.01953,0.01542,0.01277,0.01033,0.00797,0.00697,0.00329,0.00035,0.00055,0.0
4116,0.23955,0.33094,0.19687,0.43438,0.90233,0.95835,0.84803,0.99079,0.07743,0.00027,0.92846,0.4388
211479,0.06182,0.03429,0.01771,0.01422,0.01168,0.00935,0.00735,0.00627,0.00379,0.00049,0.0005,0.0
358825,0.05884,0.03271,0.01687,0.01355,0.01112,0.0089,0.00702,0.00597,0.00378,0.00057,0.00048,0.0
388399,0.06557,0.03613,0.01872,0.01504,0.01237,0.00991,0.00778,0.00665,0.00398,0.00053,0.00053,0.0
276524,0.04948,0.02956,0.01616,0.01311,0.01088,0.00881,0.00694,0.00598,0.00339,0.00046,0.00049,0.0
177387,0.14783,0.20174,0.12666,0.31338,0.92033,0.98878,0.94839,0.99916,0.39756,0.00061,0.4552,0.18778
165985,0.3061,0.35723,0.2599,0.49788,0.9432,0.9649,0.9247,0.98558,0.33928,0.00085,0.91874,0.69645
202617,0.07939,0.04361,0.02293,0.01851,0.01526,0.01224,0.00961,0.00822,0.00475,0.00058,0.00065,0.0
1303,0.22676,0.25367,0.16518,0.39938,0.94305,0.95921,0.94536,0.97914,0.54905,0.00569,0.6901,0.31357
273888,0.04793,0.02853,0.01538,0.01245,0.0103,0.00831,0.00657,0.00563,0.00346,0.00056,0.00046,0.0
274215,0.06579,0.03947,0.02213,0.01747,0.01484,0.01228,0.00933,0.00846,0.00318,0.00039,0.00068,0.0
242882,0.06319,0.03485,0.01804,0.01454,0.01192,0.00954,0.00754,0.00639,0.00427,0.0007,0.00051,0.0
70239,0.26725,0.39464,0.23078,0.50725,0.86276,0.94208,0.79935,0.98525,0.02969,0.00029,0.72785,0.29147
160435,0.92976,0.85691,0.93436,0.96262,0.97799,0.98484,0.97506,0.99358,0.69628,0.04082,0.93636,0.91447
327369,0.0734,0.04076,0.02116,0.01667,0.01386,0.01124,0.00862,0.00759,0.00338,0.00039,0.0006,0.0
371588,0.17994,0.10062,0.0664,0.05723,0.04934,0.04096,0.03217,0.02858,0.01352,0.00143,0.00228,0.0
320803,0.04988,0.02788,0.01429,0.0113,0.00933,0.00753,0.00583,0.00507,0.00257,0.00033,0.00041,0.0
366377,0.05952,0.03331,0.01714,0.0136,0.01123,0.00904,0.00702,0.00609,0.00303,0.00034,0.00049,0.0
129951,0.26863,0.31998,0.23225,0.37275,0.88531,0.95152,0.82365,0.98911,0.04708,0.0003,0.88695,0.3742
142723,0.34468,0.39833,0.67585,0.73444,0.86338,0.94133,0.79952,0.98479,0.02961,0.00038,0.91024,0.55501
97058,0.30629,0.38754,0.7945,0.9741,0.98673,0.99239,0.97756,0.99844,0.65895,0.02594,0.94776,0.51192
325126,0.14593,0.08101,0.04857,0.04055,0.03434,0.02817,0.02201,0.01935,0.00973,0.00115,0.00153,0.0
335587,0.07186,0.03942,0.02041,0.01585,0.01327,0.01084,0.00819,0.00734,0.00287,0.00031,0.00058,0.0
355540,0.09303,0.0509,0.02736,0.02226,0.01841,0.0148,0.01162,0.00997,0.00571,0.0007,0.00079,0.0
160818,0.27077,0.3917,0.23188,0.50598,0.90857,0.96069,0.8542,0.99167,0.08252,0.00034,0.87458,0.43057
218348,0.1123,0.06171,0.03431,0.02825,0.02349,0.01896,0.01494,0.01283,0.00735,0.00092,0.00101,0.0
196531,0.28282,0.33683,0.24315,0.48973,0.96915,0.97944,0.96007,0.99126,0.5593,0.00634,0.93214,0.60635
45870,0.15583,0.19775,0.11593,0.22443,0.66659,0.81449,0.74343,0.87062,0.07763,0.00034,0.62443,0.27716
339498,0.11557,0.06342,0.03555,0.0282,0.024,0.01983,0.01498,0.0136,0.00506,0.00057,0.00107,0.0
353793,0.05724,0.03136,0.01613,0.01297,0.01063,0.0085,0.00671,0.00569,0.00372,0.00057,0.00045,0.0
334128,0.15504,0.0861,0.0511,0.0403,0.03509,0.02959,0.02197,0.02062,0.00663,0.00084,0.00162,0.0
241388,0.10723,0.05936,0.03209,0.02561,0.02143,0.01746,0.01341,0.01185,0.0053,0.00059,0.00094,0.0
175865,0.13185,0.25776,0.49065,0.58471,0.68274,0.7902,0.87534,0.95569,0.59204,0.00998,0.95242,0.93141
174341,0.31252,0.36279,0.29664,0.511,0.72282,0.84994,0.66716,0.93277,0.01365,0.0011,0.75375,0.26112
300293,0.07461,0.04091,0.02136,0.01704,0.01409,0.01137,0.00882,0.00766,0.00391,0.00048,0.0006,0.0
363677,0.06135,0.03418,0.01758,0.0138,0.01146,0.00928,0.00712,0.00627,0.00282,0.00036,0.0005,0.0
29837,0.21649,0.25534,0.14645,0.27812,0.86752,0.9378,0.8124,0.98063,0.04347,0.00048,0.77056,0.30998
390024,0.09904,0.05471,0.02937,0.02354,0.0196,0.0159,0.01229,0.01076,0.00513,0.00061,0.00085,0.0
275512,0.1557,0.09719,0.06668,0.05664,0.0496,0.04194,0.03258,0.02978,0.01186,0.00134,0.00244,0.0
301092,0.06011,0.03348,0.01724,0.01376,0.01132,0.00909,0.0071,0.00611,0.00343,0.00047,0.00049,0.0
33469,0.37142,0.40447,0.34508,0.50975,0.95364,0.98099,0.91547,0.99782,0.23413,0.00046,0.94443,0.58104
182499,0.12519,0.13986,0.3717,0.80403,0.97133,0.98304,0.95368,0.99442,0.4709,0.00098,0.205,0.07778
73535,0.29195,0.37586,0.24725,0.51012,0.95609,0.98002,0.92018,0.99691,0.26263,0.0004,0.94118,0.62055
143978,0.3657,0.39096,0.34351,0.53082,0.97971,0.98764,0.96919,0.99608,0.59703,0.01129,0.94144,0.60491
373297,0.07922,0.04355,0.02294,0.01859,0.01529,0.01226,0.00967,0.00823,0.00525,0.00085,0.00065,0.0
394431,0.15358,0.08558,0.05084,0.04242,0.03583,0.02929,0.02295,0.02008,0.01024,0.00143,0.00159,0.0
376135,0.06394,0.03558,0.01837,0.0147,0.01209,0.00971,0.0076,0.00652,0.00374,0.00046,0.00052,0.0
347230,0.12351,0.06789,0.03875,0.03222,0.02689,0.02175,0.01718,0.01476,0.00856,0.00112,0.00116,0.0
276997,0.04459,0.02658,0.01429,0.01136,0.00948,0.00771,0.00597,0.00525,0.00242,0.00029,0.00043,0.0
143886,0.49297,0.53506,0.51131,0.70448,0.98476,0.99048,0.98041,0.99709,0.71462,0.05288,0.92901,0.58595
215130,0.05484,0.03026,0.01561,0.01255,0.0103,0.00825,0.0065,0.00553,0.00348,0.00052,0.00044,0.0
238933,0.10801,0.05941,0.03256,0.02641,0.02204,0.01785,0.01387,0.01209,0.00586,0.00061,0.00095,0.0
76090,0.33852,0.64435,0.2976,0.9501,0.98762,0.99307,0.98056,0.99866,0.71037,0.03808,0.44741,0.24765
390209,0.05523,0.03028,0.01553,0.01243,0.0102,0.00817,0.0064,0.00547,0.00322,0.00041,0.00043,0.0
256941,0.05899,0.03538,0.01967,0.01591,0.0133,0.01083,0.00846,0.00739,0.00373,0.00043,0.0006,0.0
394635,0.05915,0.03285,0.01688,0.01336,0.01103,0.0089,0.00689,0.00599,0.00305,0.0004,0.00048,0.0
92447,0.71439,0.70952,0.78723,0.76685,0.82495,0.89436,0.85085,0.97578,0.14007,0.00053,0.92543,0.8395
35778,0.20782,0.27801,0.17352,0.41753,0.98982,0.99402,0.98396,0.99887,0.73241,0.06461,0.95114,0.62171
339151,0.05869,0.03273,0.0168,0.01321,0.01094,0.00886,0.00681,0.00597,0.00285,0.00035,0.00047,0.0
163794,0.27635,0.51321,0.89578,0.84407,0.89735,0.95148,0.84787,0.98597,0.08173,0.00057,0.91445,0.78929
