,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
112139,0.25163,0.38089,0.23507,0.58623,0.95965,0.98346,0.92736,0.99793,0.29379,0.00035,0.67329,0.32231
378826,0.05891,0.03281,0.01687,0.01336,0.01104,0.0089,0.00689,0.00599,0.00292,0.00033,0.00048,0.0
280558,0.06826,0.04121,0.02352,0.01944,0.0162,0.01314,0.01047,0.00896,0.00568,0.00078,0.00073,0.0
338360,0.04669,0.0259,0.0133,0.01068,0.00875,0.00701,0.00553,0.00469,0.00305,0.00047,0.00038,0.0
243360,0.07373,0.0408,0.0213,0.01719,0.01413,0.01132,0.00893,0.00759,0.00484,0.00068,0.0006,0.0
326526,0.07769,0.04255,0.02239,0.01812,0.01491,0.01196,0.00941,0.00803,0.00483,0.00059,0.00063,0.0
55891,0.3954,0.44652,0.35095,0.57809,0.86881,0.93876,0.81726,0.98039,0.04787,0.00068,0.90377,0.69052
281832,0.07532,0.04529,0.02538,0.02039,0.01714,0.01406,0.01088,0.00963,0.0045,0.00065,0.00078,0.0
181106,0.31278,0.3295,0.3611,0.33251,0.35421,0.31406,0.23037,0.25895,0.0103,0.00027,0.23072,0.18123
225921,0.08959,0.04968,0.02609,0.02039,0.01708,0.01397,0.0106,0.00948,0.0039,0.00046,0.00075,0.0
188195,0.26476,0.26384,0.20839,0.39476,0.92512,0.95259,0.90415,0.97946,0.26411,0.0009,0.73146,0.35002
30376,0.36551,0.35164,0.42295,0.39189,0.44085,0.49224,0.41837,0.51088,0.01652,0.0005,0.49637,0.36858
381106,0.15207,0.08428,0.05202,0.04348,0.03724,0.03077,0.02384,0.02129,0.00919,0.00117,0.00169,0.0
228942,0.06298,0.03457,0.01786,0.01431,0.01177,0.00944,0.00739,0.00633,0.00356,0.00041,0.0005,0.0
59150,0.30011,0.31574,0.22717,0.50075,0.86909,0.91115,0.859,0.95561,0.18026,0.00152,0.73095,0.32364
116487,0.24888,0.38817,0.20483,0.56978,0.97177,0.98588,0.94563,0.99752,0.39377,0.00061,0.62473,0.28179
229035,0.10666,0.05904,0.03216,0.02628,0.02178,0.01755,0.01382,0.01185,0.00687,0.00084,0.00094,0.0
41491,0.94407,0.86695,0.90268,0.78662,0.85953,0.93879,0.79539,0.98355,0.02789,0.00044,0.90556,0.71956
394019,0.09707,0.05317,0.02869,0.0225,0.01901,0.01564,0.0118,0.01067,0.00408,0.00046,0.00084,0.0
132731,0.25946,0.45293,0.23835,0.72652,0.99384,0.99633,0.99547,0.9997,0.89186,0.33938,0.90319,0.45766
317073,0.06353,0.03521,0.01823,0.01469,0.01205,0.00964,0.00762,0.00646,0.00431,0.00069,0.00051,0.0
299699,0.10084,0.06129,0.03766,0.03192,0.02696,0.02205,0.01764,0.0152,0.00927,0.00129,0.00124,0.0
131958,0.39135,0.59737,0.33253,0.80543,0.9826,0.9899,0.97163,0.99744,0.6101,0.01381,0.94847,0.59312
310018,0.05708,0.03146,0.01617,0.01296,0.01064,0.00852,0.00669,0.00571,0.0034,0.00044,0.00045,0.0
191413,0.20352,0.22295,0.14869,0.3172,0.87148,0.98584,0.97231,0.99592,0.63232,0.01205,0.46953,0.2002
70106,0.24296,0.35411,0.19384,0.5137,0.98588,0.99238,0.97284,0.99889,0.60622,0.01192,0.69508,0.3199
211003,0.07199,0.03992,0.02077,0.01665,0.01372,0.01102,0.00862,0.0074,0.00404,0.00044,0.00059,0.0
29233,0.24615,0.33494,0.20905,0.48845,0.99079,0.99706,0.97275,1.00218,0.56852,0.00715,0.9544,0.60197
55021,0.23985,0.32336,0.20325,0.4092,0.92211,0.96919,0.86839,0.99588,0.10292,0.0003,0.87882,0.468
328030,0.05559,0.03075,0.01572,0.01233,0.01022,0.00827,0.00634,0.00557,0.00252,0.00028,0.00044,0.0
27994,0.23353,0.29287,0.18962,0.42461,0.94687,0.96716,0.9298,0.98668,0.37033,0.00082,0.51578,0.23275
69576,0.25444,0.32617,0.2242,0.62333,0.94832,0.96695,0.9331,0.98581,0.39036,0.00093,0.65859,0.26968
71288,0.30148,0.63133,0.47647,0.94065,0.96594,0.98211,0.93849,0.99576,0.35611,0.00064,0.94159,0.42952
366174,0.06485,0.03571,0.01853,0.01466,0.01217,0.00984,0.00758,0.00664,0.00313,0.0004,0.00053,0.0
102397,0.33159,0.5312,0.32769,0.81536,0.98691,0.99293,0.97481,0.99902,0.62183,0.01546,0.67004,0.32329
155334,0.21348,0.30083,0.16265,0.35362,0.8648,0.94314,0.8015,0.98573,0.03057,0.00036,0.65132,0.25483
250457,0.04419,0.02627,0.01406,0.01113,0.00929,0.00758,0.00584,0.00516,0.0023,0.00028,0.00042,0.0
111466,0.26483,0.45695,0.24016,0.72434,0.99361,0.99711,0.98457,1.00104,0.70649,0.04749,0.8994,0.45318
17044,0.14897,0.20354,0.11969,0.31719,0.96784,0.98305,0.94306,0.99596,0.39146,0.0006,0.58528,0.24921
358002,0.0951,0.05187,0.02806,0.02296,0.01897,0.01524,0.01203,0.01026,0.00629,0.00087,0.00081,0.0
322557,0.05613,0.03141,0.01616,0.01288,0.0106,0.00852,0.00665,0.00572,0.0031,0.00035,0.00046,0.0
199166,0.67053,0.68752,0.74257,0.75055,0.76063,0.76454,0.73662,0.74233,0.43167,0.01279,0.57645,0.54503
330013,0.06158,0.03409,0.01762,0.01417,0.01163,0.00932,0.00734,0.00624,0.00392,0.00055,0.0005,0.0
37385,0.26651,0.3763,0.2344,0.54611,0.91421,0.96268,0.86367,0.99185,0.09991,0.00048,0.65836,0.29249
102684,0.24346,0.2855,0.19311,0.32827,0.8759,0.94246,0.81702,0.98354,0.04507,0.0004,0.57761,0.21507
366726,0.08294,0.04511,0.02372,0.0187,0.01562,0.0127,0.00969,0.00859,0.0036,0.00042,0.00067,0.0
234163,0.0695,0.03864,0.01991,0.0154,0.0129,0.01054,0.00796,0.00715,0.00275,0.00033,0.00057,0.0
113894,0.37671,0.58037,0.32164,0.73864,0.92653,0.96499,0.88772,0.99016,0.16864,0.0004,0.93547,0.54674
255850,0.11071,0.06799,0.04256,0.03546,0.03039,0.02522,0.01967,0.01758,0.00764,0.00085,0.00143,0.0
221661,0.05459,0.03037,0.0155,0.01194,0.00998,0.00816,0.00616,0.00553,0.00211,0.00024,0.00044,0.0
344863,0.08297,0.04534,0.0239,0.01854,0.01563,0.01285,0.00965,0.00874,0.00323,0.00036,0.00069,0.0
97825,0.63303,0.74556,0.88884,0.82642,0.88429,0.94325,0.83527,0.98162,0.06879,0.00056,0.90683,0.77177
33884,0.29246,0.38751,0.26428,0.55544,0.99268,0.99644,0.98462,1.00061,0.71472,0.05381,0.748,0.3688
361133,0.06754,0.03751,0.01948,0.0157,0.01289,0.01032,0.00816,0.00692,0.00454,0.0007,0.00055,0.0
89804,0.24396,0.30894,0.21981,0.43097,0.98257,0.99271,0.95986,1.00059,0.47848,0.00183,0.71946,0.31014
246548,0.14202,0.07647,0.0495,0.04342,0.03702,0.03037,0.02434,0.021,0.01268,0.00161,0.00169,0.0
169792,0.66603,0.67785,0.73343,0.71831,0.73999,0.75576,0.69821,0.74069,0.18355,0.00044,0.5648,0.51357
69474,0.24592,0.29075,0.23219,0.3932,0.99297,0.99633,0.98789,1.00027,0.76336,0.09078,0.83961,0.4326
225774,0.11011,0.06015,0.03303,0.02574,0.02196,0.0182,0.01359,0.01248,0.00429,0.00052,0.00098,0.0
127985,0.23781,0.36566,0.21938,0.5787,0.90254,0.95827,0.84775,0.99075,0.07642,0.00028,0.68334,0.26791
81366,0.49269,0.55248,0.50682,0.63825,0.92392,0.96913,0.87356,0.99485,0.11853,0.00029,0.92951,0.53161
289518,0.04708,0.02804,0.01504,0.01191,0.00995,0.00812,0.00625,0.00553,0.00242,0.00027,0.00045,0.0
266638,0.06012,0.03604,0.01987,0.01616,0.01343,0.01088,0.00858,0.0074,0.00415,0.00049,0.0006,0.0
300863,0.06419,0.03502,0.01796,0.01402,0.01168,0.00948,0.00721,0.0064,0.00265,0.00031,0.0005,0.0
177633,0.33181,0.38684,0.29425,0.48006,0.87388,0.94245,0.81877,0.98296,0.046,0.00054,0.8779,0.41174
388867,0.07347,0.04053,0.02114,0.01684,0.01394,0.01125,0.00872,0.00758,0.00381,0.0005,0.0006,0.0
69259,0.69454,0.71653,0.89689,0.93185,0.95638,0.96961,0.95265,0.98538,0.55067,0.006,0.92093,0.88687
355380,0.0583,0.03168,0.0168,0.01362,0.01126,0.00906,0.00711,0.0061,0.00354,0.00046,0.00049,0.0
242177,0.06568,0.03629,0.01881,0.0151,0.01242,0.00996,0.00781,0.00668,0.00395,0.00053,0.00053,0.0
138109,0.35553,0.50065,0.29672,0.71697,0.92299,0.96492,0.87709,0.99155,0.12733,0.00053,0.434,0.25471
321370,0.08448,0.04662,0.02453,0.01955,0.01623,0.01312,0.01014,0.00885,0.00425,0.00051,0.0007,0.0
182471,0.20867,0.27939,0.1714,0.37625,0.9549,0.97986,0.91813,0.99659,0.24623,0.00051,0.43039,0.16087
338366,0.08499,0.04629,0.02486,0.02031,0.01677,0.01346,0.01063,0.00906,0.00566,0.00079,0.00072,0.0
349018,0.06242,0.03426,0.01765,0.01406,0.01159,0.00931,0.00724,0.00625,0.00322,0.00036,0.00049,0.0
131914,0.25232,0.39629,0.19406,0.46763,0.84878,0.92848,0.78909,0.9768,0.02797,0.00042,0.66097,0.23678
75357,0.25529,0.31244,0.22797,0.42423,0.95793,0.98241,0.92131,0.99828,0.26301,0.00038,0.94723,0.58664
88892,0.15123,0.19855,0.11489,0.28173,0.92945,0.97123,0.87805,0.996,0.12311,0.00029,0.72877,0.3442
279139,0.05162,0.03078,0.01673,0.01359,0.01125,0.00908,0.0072,0.00616,0.00381,0.00056,0.0005,0.0
58149,0.31382,0.33215,0.5305,0.58962,0.67792,0.75416,0.72725,0.83986,0.12894,0.00176,0.86362,0.75926
382676,0.05749,0.03178,0.01628,0.01279,0.0106,0.00858,0.00659,0.00578,0.00261,0.00029,0.00046,0.0
89712,0.29972,0.31488,0.21565,0.49819,0.77164,0.86549,0.73255,0.93738,0.02918,0.00136,0.81862,0.334
79531,0.27985,0.35832,0.24425,0.43163,0.87607,0.94985,0.81182,0.98935,0.0362,0.0003,0.62999,0.25242
11485,0.17775,0.20212,0.1109,0.28456,0.88941,0.94712,0.83653,0.98455,0.06815,0.00059,0.68044,0.22959
198776,0.24258,0.40907,0.19832,0.55032,0.92818,0.97042,0.87883,0.99523,0.12456,0.00041,0.77314,0.34103
161850,0.23801,0.3535,0.22596,0.63294,0.96457,0.98426,0.93231,0.99831,0.31883,0.00034,0.67872,0.27858
252874,0.08229,0.04977,0.02874,0.02318,0.01967,0.01622,0.01249,0.01118,0.00467,0.00059,0.00091,0.0
4933,0.3921,0.36542,0.44581,0.44273,0.4897,0.51732,0.45869,0.51591,0.06122,0.00058,0.43377,0.33735
230400,0.0907,0.05018,0.02656,0.02133,0.01766,0.01424,0.0111,0.0096,0.00512,0.00064,0.00076,0.0
125981,0.1871,0.25263,0.1248,0.31162,0.81692,0.91375,0.75636,0.96986,0.0164,0.0005,0.66941,0.26417
85565,0.37057,0.49658,0.35891,0.71515,0.99933,1.0006,0.99688,1.00243,0.85725,0.23943,0.95725,0.67444
52492,0.22238,0.25123,0.18194,0.32621,0.92787,0.972,0.87618,0.99675,0.11674,0.00038,0.80037,0.33924
282291,0.05729,0.03376,0.01845,0.01507,0.01248,0.01007,0.00801,0.00682,0.00452,0.00074,0.00056,0.0
297948,0.05247,0.03134,0.01701,0.01348,0.0113,0.00924,0.00711,0.00631,0.00268,0.00032,0.00051,0.0
291194,0.08478,0.05136,0.03019,0.02503,0.02106,0.0172,0.01359,0.0118,0.00628,0.00076,0.00096,0.0
379254,0.08302,0.04535,0.02448,0.02006,0.01657,0.01331,0.01055,0.00896,0.0059,0.00092,0.00071,0.0
219254,0.05909,0.03285,0.01694,0.0136,0.01116,0.00894,0.00704,0.00599,0.00372,0.00053,0.00048,0.0
117438,0.23758,0.33129,0.20207,0.43073,0.91968,0.96744,0.86812,0.99443,0.10362,0.00041,0.81941,0.36694
337673,0.04367,0.02442,0.01255,0.01008,0.00827,0.00662,0.00523,0.00444,0.00298,0.00051,0.00036,0.0
222675,0.05425,0.03032,0.01561,0.01252,0.01027,0.00823,0.00649,0.00552,0.00348,0.00049,0.00044,0.0
12457,0.21506,0.23145,0.14198,0.27832,0.7723,0.88514,0.71053,0.95459,0.01026,0.00068,0.50647,0.15732
238979,0.15138,0.08293,0.05212,0.04365,0.03764,0.03129,0.02413,0.02176,0.00888,0.00106,0.00173,0.0
7536,0.36564,0.53235,0.35538,0.74737,0.9828,0.99076,0.96758,0.99847,0.55752,0.00639,0.94706,0.63929
49142,0.18417,0.2279,0.13795,0.29477,0.86171,0.94911,0.82751,0.98666,0.05193,0.00038,0.61067,0.21308
155193,0.32004,0.28767,0.28282,0.27728,0.27926,0.27978,0.26163,0.2656,0.10379,0.0006,0.21769,0.18918
357715,0.11892,0.06542,0.03695,0.03032,0.02542,0.02065,0.0161,0.01405,0.00702,0.0009,0.00111,0.0
39542,0.21678,0.2425,0.12881,0.35214,0.95388,0.96707,0.95726,0.98332,0.62279,0.01347,0.58479,0.25166
221423,0.06505,0.03539,0.01816,0.0141,0.01178,0.0096,0.00726,0.00649,0.00253,0.00028,0.00051,0.0
325524,0.05286,0.02941,0.01516,0.01218,0.00999,0.008,0.00631,0.00536,0.00344,0.00049,0.00043,0.0
310803,0.08681,0.04755,0.02538,0.02067,0.01704,0.01367,0.0108,0.00919,0.0058,0.00079,0.00073,0.0
355283,0.11278,0.06178,0.03504,0.02883,0.02419,0.01966,0.01535,0.01338,0.0067,0.00085,0.00106,0.0
232999,0.08495,0.04636,0.0246,0.01979,0.0164,0.01322,0.01028,0.00891,0.00452,0.00054,0.0007,0.0
