Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.07615,0.17353,0.17549,0.28666,0.15441,0.39423,0.96785,0.8668,0.99479,0.10445,0.00031,0.70108,0.45051
0.07827,0.21781,0.21548,0.37035,0.2277,0.66537,0.99425,0.96595,1.00117,0.52818,0.00433,0.96031,0.671
0.15496,0.50928,0.48981,0.82725,0.49712,0.86017,0.93106,0.80784,0.97634,0.04351,0.00054,0.89416,0.7446
0.17418,0.1779,0.13699,0.19882,0.19469,0.41654,0.94072,0.86388,0.978,0.13032,0.00081,0.72047,0.4756
0.15966,0.21389,0.17945,0.29131,0.15189,0.47543,0.92119,0.78607,0.97205,0.0299,0.00059,0.7971,0.584
0.08401,0.23274,0.25592,0.38125,0.42819,0.44832,0.47066,0.45029,0.48852,0.11795,0.00039,0.59712,0.724
0.15969,0.15789,0.12252,0.19616,0.101,0.27862,0.89683,0.85834,0.97938,0.1161,0.00074,0.76736,0.58294
0.07077,0.25039,0.29879,0.65442,0.42665,0.97378,0.98892,0.94755,0.99937,0.40272,0.00069,0.95793,0.92257
0.20671,0.3138,0.24389,0.30161,0.22168,0.38217,0.87772,0.70433,0.94939,0.01282,0.00095,0.83318,0.56744
0.15099,0.20196,0.17287,0.29002,0.1621,0.43199,0.97539,0.94944,0.98979,0.47716,0.00214,0.89713,0.7277
0.22862,0.31311,0.24188,0.41018,0.23716,0.62251,0.84478,0.6656,0.92857,0.01656,0.00139,0.79251,0.49599
0.09943,0.74808,0.72695,0.77924,0.71308,0.7818,0.85319,0.73972,0.88609,0.03572,0.00028,0.81093,0.7287
0.10373,0.28322,0.27497,0.41396,0.22199,0.52759,0.95126,0.82861,0.98808,0.05225,0.00033,0.92036,0.66134
0.11505,0.32738,0.32131,0.51608,0.33507,0.74936,0.98487,0.9491,0.99655,0.42648,0.00105,0.94244,0.90719
0.09658,0.23956,0.22749,0.31559,0.21499,0.42872,0.98175,0.9176,0.99811,0.24016,0.0004,0.94465,0.78367
0.10395,0.19196,0.16967,0.21699,0.12905,0.27862,0.92971,0.84705,0.99087,0.07363,0.00034,0.70215,0.4713
0.09587,0.36886,0.37729,0.65198,0.33901,0.88176,0.98632,0.94183,0.99835,0.3647,0.00055,0.56236,0.42855
0.08885,0.34159,0.38017,0.67067,0.35062,0.87871,0.99455,0.96268,1.00156,0.48716,0.00217,0.9107,0.73971
0.08909,0.20185,0.18913,0.26063,0.18315,0.35556,0.99271,0.96494,0.99989,0.51788,0.00332,0.95248,0.83601
0.10599,0.45718,0.45189,0.57278,0.81915,0.8747,0.91662,0.92218,0.93102,0.69444,0.07073,0.88558,0.84972
0.1042,0.15972,0.14643,0.21684,0.14424,0.30476,0.98476,0.94715,0.9967,0.40873,0.00077,0.66001,0.46806
0.09698,0.25824,0.31924,0.48523,0.70918,0.82247,0.92801,0.9546,0.99882,0.45009,0.00131,0.94973,0.91819
0.09212,0.20977,0.21226,0.33742,0.21767,0.46216,0.97803,0.93165,0.99391,0.34194,0.00051,0.85444,0.60743
