,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,COT_est
92322,0.33557,0.4032,0.90188,0.91834,0.94865,0.96754,0.93248,0.9864,0.38429,0.0009,0.92336,0.70664,73.98,0.0
25602,0.54695,0.49131,0.50852,0.54492,0.64869,0.68024,0.62401,0.70114,0.36517,0.05752,0.44366,0.33943,74.69,2.0
134185,0.80542,0.77265,0.78723,0.82692,0.99628,0.99343,0.96374,0.98471,0.77701,0.17368,0.07937,0.09961,38.41,2.0
28247,0.62461,0.49656,0.52877,0.47843,0.5212,0.56575,0.48845,0.58981,0.09515,0.00079,0.45403,0.31538,81.33,2.0
149518,0.52336,0.48622,0.48606,0.54402,0.71927,0.76863,0.67527,0.7972,0.189,0.00064,0.07258,0.08658,75.52,2.0
97529,0.22801,0.33113,0.1819,0.44897,0.95959,0.9816,0.9248,0.99724,0.2769,0.00053,0.68617,0.28717,54.55,0.0
67229,0.11459,0.14291,0.08745,0.21518,0.7095,0.85002,0.86485,0.92135,0.47739,0.00195,0.39351,0.15851,45.5,0.0
104428,0.72196,0.78352,0.71455,0.85144,0.89017,0.94264,0.83697,0.97712,0.53871,0.10899,0.09918,0.12194,48.7,2.0
188670,0.59492,0.58027,0.57828,0.64164,0.92089,0.96556,0.86393,0.99467,0.43735,0.09824,0.15621,0.16722,49.84,2.0
194933,0.83969,0.80074,0.82346,0.83703,0.95396,0.98116,0.90176,0.99548,0.66108,0.18664,0.11749,0.14246,33.54,2.0
590,0.44604,0.4204,0.4121,0.47831,0.77615,0.78679,0.75855,0.79366,0.37056,0.00697,0.49572,0.25951,68.52,2.0
53520,0.90482,0.82923,0.91733,0.94274,0.96485,0.97661,0.95587,0.98986,0.53361,0.00422,0.04333,0.06882,71.68,0.0
39316,0.30618,0.34451,0.27183,0.41768,0.97994,1.00137,0.94986,1.01954,0.31093,0.00048,0.52981,0.2765,51.06,2.0
150187,0.71835,0.67552,0.68614,0.69284,0.69594,0.70121,0.69589,0.6972,0.56604,0.05899,0.08645,0.10409,56.2,2.0
101002,0.82508,0.78207,0.80384,0.81859,0.86428,0.89354,0.82619,0.90957,0.55252,0.03112,0.06447,0.08167,50.74,2.0
12335,0.33284,0.49906,0.30507,0.65666,1.0175,1.06342,0.96741,1.09304,0.20273,0.00042,0.85171,0.38359,38.12,1.0
35803,0.61388,0.64635,0.57762,0.68872,0.9504,1.04614,0.86718,1.10637,0.31075,0.01626,0.66374,0.34787,38.13,2.0
